"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1009.7","1013.1","18.4","15.9","85","1.7","330","4.3","360","0.0","0.0","...","0.00","...","0","..."
"02","1009.4","1012.8","17.6","15.3","86","0.8","350","4.3","340","0.0","0.0","...","0.00","...","0","..."
"03","1009.0","1012.4","16.9","14.6","86","1.5","50","3.2","20","0.0","0.0","...","0.00","...","0","..."
"04","1009.2","1012.6","16.6","14.5","87","1.6","10","3.0","10","0.0","0.0","...","0.00","...","0","..."
"05","1009.6","1013.0","16.2","14.0","87","1.8","20","4.0","10","0.0","0.0","...","0.00","15.0","0","2.0"
"06","1010.0","1013.4","16.9","15.2","90","1.8","20","4.1","30","0.0","0.0","0.0","0.00","...","0","..."
"07","1010.7","1014.1","17.2","15.4","89","1.6","10","3.7","10","0.0","0.0","0.0","0.00","...","0","..."
"08","1011.6","1015.0","17.8","16.1","90","2.2","10","4.5","10","0.0","0.0","0.0","0.05","3.0","0","10.0"
"09","1012.2","1015.6","19.7","17.4","87","1.7","20","4.6","10","0.0","0.0","0.1","0.76","6.0","2","4.0"
"10","1012.5","1015.8","23.4","16.7","66","0.7","340","3.4","340","0.0","0.0","1.0","2.00","...","5","1.0"
"11","1012.3","1015.6","25.0","16.1","58","2.4","310","5.0","290","0.0","0.0","1.0","2.52","18.0","8","0.0"
"12","1011.5","1014.8","27.2","16.4","52","2.0","330","6.4","340","0.0","0.0","1.0","3.00","...","10","1.0"
"13","1011.2","1014.5","26.8","16.9","55","2.2","310","6.6","290","0.0","0.0","1.0","2.95","...","10","3.0"
"14","1010.8","1014.1","26.9","16.4","53","1.7","310","5.3","340","0.0","0.0","1.0","2.65","15.0","9","2.0"
"15","1010.4","1013.7","26.5","17.9","59","2.7","310","6.8","330","0.0","0.0","1.0","2.21","...","6","2.0"
"16","1010.5","1013.8","25.8","17.2","59","2.0","320","6.3","340","0.0","0.0","1.0","1.51","...","3","1.0"
"17","1010.7","1014.0","24.2","16.6","63","1.4","310","5.3","330","0.0","0.0","1.0","0.84","12.0","1","3.0"
"18","1011.1","1014.5","22.1","16.6","71","1.2","300","4.2","300","0.0","0.0","0.1","0.16","...","0","..."
"19","1011.6","1015.0","20.8","16.4","76","0.4","290","4.9","330","0.0","0.0","0.0","0.00","...","0","..."
"20","1012.2","1015.6","20.4","16.4","78","0.0","0","1.8","320","0.0","0.0","...","0.00","10.0","0","0.0"
"21","1012.1","1015.5","20.2","16.8","81","0.0","0","1.6","70","0.0","0.0","...","0.00","10.0","0","7.0"
"22","1012.0","1015.4","19.9","16.7","82","0.3","340","1.9","290","0.0","0.0","...","0.00","...","0","..."
"23","1011.8","1015.2","19.8","16.8","83","0.0","0","1.3","340","0.0","0.0","...","0.00","...","0","..."
"24","1012.1","1015.5","20.2","17.4","84","0.8","330","2.2","350","0.0","0.0","...","0.00","...","0","..."
