"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1011.9","1015.3","20.1","17.0","82","0.3","50","2.6","360","0.0","0.0","...","0.00","...","0","..."
"02","1010.8","1014.2","20.0","17.0","83","0.9","60","2.8","90","0.0","0.0","...","0.00","...","0","..."
"03","1011.0","1014.4","19.7","16.6","82","0.8","360","2.5","350","0.0","0.0","...","0.00","...","0","..."
"04","1010.4","1013.8","19.3","15.9","81","0.4","340","3.8","360","0.0","0.0","...","0.00","...","0","..."
"05","1010.7","1014.1","18.4","15.7","84","0.4","310","2.4","300","0.0","0.0","...","0.00","5.0","0","1.0"
"06","1011.6","1015.0","18.3","15.6","84","1.5","20","2.6","30","0.0","0.0","0.0","0.00","...","0","..."
"07","1011.6","1015.0","18.8","16.2","85","2.0","90","3.0","90","0.0","0.0","0.0","0.00","...","0","..."
"08","1011.0","1014.4","20.6","17.1","80","0.7","50","2.5","80","0.0","0.0","0.2","0.45","5.0","0","8.0"
"09","1010.7","1014.0","23.9","17.3","67","1.6","150","3.0","240","0.0","0.0","0.3","0.95","5.0","2","7.0"
"10","1010.1","1013.4","26.3","17.7","59","2.3","210","4.8","250","0.0","0.0","0.5","1.47","...","4","7.0"
"11","1009.8","1013.1","27.0","17.5","56","3.6","240","7.5","240","0.0","0.0","0.2","1.56","8.0","5","9.0"
"12","1009.0","1012.3","26.7","17.1","56","4.3","240","7.2","260","0.0","0.0","0.1","1.40","...","5","9.0"
"13","1008.3","1011.6","28.0","17.5","53","2.7","210","5.8","250","0.0","0.0","0.2","1.58","...","6","9.0"
"14","1007.5","1010.8","25.2","18.5","66","3.9","250","7.6","250","0.0","0.0","0.1","0.94","6.0","3","9.0"
"15","1007.4","1010.7","24.5","18.5","69","2.6","240","6.3","250","0.0","0.0","0.0","0.37","...","1","9.0"
"16","1007.4","1010.7","25.2","18.9","68","0.6","300","3.7","250","0.0","0.0","0.0","0.34","...","1","9.0"
"17","1007.6","1010.9","24.5","18.8","71","0.9","340","2.7","340","0.0","0.0","0.0","0.18","5.0","0","9.0"
"18","1008.3","1011.6","22.7","18.5","77","3.1","350","6.8","350","0.0","0.0","0.0","0.00","...","0","..."
"19","1009.5","1012.9","20.4","16.8","80","4.7","360","9.4","340","0.0","0.0","0.0","0.00","...","0","..."
"20","1010.0","1013.4","18.4","15.0","81","5.5","10","9.4","360","0.0","0.0","...","0.00","4.0","0","8.0"
"21","1011.3","1014.7","18.0","14.5","80","2.6","350","11.3","20","0.0","0.0","...","0.00","4.0","0","6.0"
"22","1011.7","1015.1","17.7","14.3","80","3.0","10","7.4","360","0.5","0.2","...","0.00","...","0","..."
"23","1011.5","1014.9","17.7","15.1","85","2.2","80","7.0","360","1.0","1.0","...","0.00","...","0","..."
"24","1010.1","1013.5","17.9","15.7","87","1.0","10","4.3","90","1.0","0.5","...","0.00","...","0","..."
