"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1012.2","1015.6","20.0","17.2","84","0.0","0","2.1","50","0.0","0.0","...","0.00","...","0","..."
"02","1011.6","1015.0","20.1","17.2","83","1.4","30","2.7","20","0.0","0.0","...","0.00","...","0","..."
"03","1010.7","1014.1","19.9","17.2","84","1.8","30","4.0","30","0.0","0.0","...","0.00","...","0","..."
"04","1010.1","1013.5","19.9","17.2","84","0.9","10","2.5","20","0.0","0.0","...","0.00","...","0","..."
"05","1010.3","1013.7","19.9","17.2","84","0.6","330","3.3","340","0.0","0.0","...","0.00","3.0","0","10.0"
"06","1010.5","1013.9","19.7","17.1","85","0.2","0","3.0","340","0.0","0.0","0.0","0.00","...","0","..."
"07","1011.1","1014.5","19.8","17.5","87","0.8","280","2.0","10","0.0","0.0","0.0","0.00","...","0","..."
"08","1011.1","1014.5","20.8","18.1","85","0.2","0","1.8","280","0.0","0.0","0.0","0.26","3.0","0","9.0"
"09","1011.4","1014.8","21.9","17.9","78","1.6","250","3.3","250","0.0","0.0","0.0","0.62","3.0","1","9.0"
"10","1011.3","1014.6","23.8","18.3","71","1.4","280","3.9","230","0.0","0.0","0.7","1.59","...","4","2.0"
"11","1010.9","1014.2","26.2","18.9","64","0.9","310","2.9","340","0.0","0.0","1.0","2.39","4.0","7","0.0"
"12","1009.9","1013.2","26.8","19.3","64","1.4","320","3.8","330","0.0","0.0","1.0","2.40","...","9","2.0"
"13","1008.9","1012.2","28.1","19.7","60","1.8","320","4.6","360","0.0","0.0","1.0","2.53","...","9","3.0"
"14","1008.1","1011.4","28.4","19.9","60","1.6","300","6.5","280","0.0","0.0","0.9","2.24","5.0","7","3.0"
"15","1007.7","1011.0","26.9","19.5","64","2.3","330","5.9","300","0.0","0.0","0.5","1.63","...","4","6.0"
"16","1007.7","1011.0","26.8","19.3","64","1.3","340","5.5","330","0.0","0.0","0.3","1.19","...","2","8.0"
"17","1007.9","1011.2","26.4","19.1","64","0.7","330","4.1","10","0.0","0.0","0.1","0.60","6.0","1","8.0"
"18","1008.1","1011.4","24.6","19.1","71","1.4","320","4.8","260","0.0","0.0","0.0","0.06","...","0","..."
"19","1008.3","1011.6","23.4","19.0","76","0.1","0","3.8","340","0.0","0.0","0.0","0.00","...","0","..."
"20","1009.1","1012.4","23.0","19.1","79","0.5","20","2.0","360","0.0","0.0","...","0.00","6.0","0","8.0"
"21","1009.7","1013.0","23.0","19.4","80","0.2","0","2.3","340","0.0","0.0","...","0.00","6.0","0","8.0"
"22","1009.6","1012.9","22.3","19.1","82","1.4","90","1.8","90","0.0","0.0","...","0.00","...","0","..."
"23","1009.3","1012.7","21.6","18.9","85","0.1","0","1.8","120","0.0","0.0","...","0.00","...","0","..."
"24","1008.8","1012.2","20.9","18.6","87","1.6","90","2.0","80","0.0","0.0","...","0.00","...","0","..."
