"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1013.1","1016.5","18.8","16.3","85","0.2","0","1.8","340","0.0","0.0","...","0.00","...","0","..."
"02","1013.0","1016.4","19.1","16.0","82","1.0","350","2.6","330","0.0","0.0","...","0.00","...","0","..."
"03","1012.9","1016.3","18.8","15.4","81","1.8","10","3.9","20","0.0","0.0","...","0.00","...","0","..."
"04","1012.7","1016.1","18.1","15.0","82","1.5","30","4.8","360","0.0","0.0","...","0.00","...","0","..."
"05","1012.6","1016.0","18.1","15.2","83","1.4","360","4.2","10","0.0","0.0","...","0.00","6.0","0","4.0"
"06","1013.0","1016.4","18.1","15.1","83","0.8","20","3.2","10","0.0","0.0","0.0","0.00","...","0","..."
"07","1013.5","1016.9","18.2","15.7","85","0.6","360","3.0","360","0.0","0.0","0.0","0.00","...","0","..."
"08","1014.3","1017.7","20.0","16.0","78","2.4","360","4.3","10","0.0","0.0","0.8","0.52","10.0","1","2.0"
"09","1014.2","1017.6","22.0","16.7","72","1.9","20","4.1","20","0.0","0.0","1.0","1.20","10.0","2","0.0"
"10","1014.2","1017.5","24.1","17.2","65","1.3","10","3.8","340","0.0","0.0","1.0","1.85","...","5","0.0"
"11","1013.5","1016.8","25.8","17.6","61","1.7","290","4.4","280","0.0","0.0","1.0","2.40","10.0","7","0.0"
"12","1012.8","1016.1","26.8","18.3","60","2.0","330","6.2","290","0.0","0.0","1.0","2.67","...","9","1.0"
"13","1012.1","1015.4","27.4","19.1","61","1.7","310","5.5","280","0.0","0.0","1.0","2.88","...","10","2.0"
"14","1011.8","1015.1","27.6","19.7","62","2.0","320","5.7","280","0.0","0.0","1.0","2.38","12.0","9","2.0"
"15","1011.8","1015.1","26.0","19.1","66","2.7","300","6.5","280","0.0","0.0","1.0","2.09","...","6","3.0"
"16","1012.3","1015.6","22.9","17.6","72","2.8","310","7.6","330","0.0","0.0","0.6","1.18","...","3","9.0"
"17","1012.5","1015.9","21.5","16.9","75","2.6","350","6.8","330","0.0","0.0","0.0","0.54","5.0","1","10.0"
"18","1012.8","1016.2","20.5","16.5","78","2.5","330","5.8","340","0.0","0.0","0.0","0.00","...","0","..."
"19","1012.6","1016.0","20.0","16.4","80","1.6","10","5.4","340","0.0","0.0","0.0","0.00","...","0","..."
"20","1012.8","1016.2","19.6","16.6","83","0.9","330","3.1","340","0.0","0.0","...","0.00","3.0","0","3.0"
"21","1012.9","1016.3","19.4","16.6","84","0.7","360","2.1","50","0.0","0.0","...","0.00","3.0","0","5.0"
"22","1013.2","1016.6","19.5","17.3","87","1.0","330","3.1","350","0.0","0.0","...","0.00","...","0","..."
"23","1013.5","1016.9","19.8","17.3","86","0.7","350","3.7","330","0.0","0.0","...","0.00","...","0","..."
"24","1012.7","1016.1","20.0","17.3","84","1.3","60","3.0","340","0.0","0.0","...","0.00","...","0","..."
