# stno,yyyymmddhh,PS01,PS02,TX01,TX04,TX05,RH01,RH02,WD01,WD02,WD03,WD04,WD05,WD06,PP01,PP02,SS01,SS02,VS01,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,CD11,TS01,TS02,TS03,TS04,TS05,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10,ST11,ST12
466920,2015082001,1003.8,1007.3,28.2,-9999,-9999,68,-9999,3.6,80,5.7,80,9.2,80,0,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082002,1003.2,1006.7,27.9,-9999,-9999,74,-9999,4.3,70,4.3,70,8.1,60,0,0,-9999,0,20,-9999,-9999,1.2,-9999,-9999,1,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082003,1003.1,1006.6,28,-9999,-9999,75,-9999,2.5,100,4.6,80,7.7,90,0,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082004,1002.9,1006.4,28.1,-9999,-9999,77,-9999,4.1,80,4.1,80,7.2,80,0,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082005,1002.9,1006.4,27.8,-9999,-9999,78,-9999,2.3,90,4.2,80,7,70,0,0,-9999,0,20,-9999,-9999,0.9,-9999,-9999,3,-9999,-9999,5,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082006,1002.9,1006.4,28,-9999,-9999,77,-9999,2.6,80,3,80,5.6,80,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082007,1003.1,1006.5,28.9,-9999,-9999,74,-9999,2.9,70,3.4,80,5.8,70,0,0,1,0.53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082008,1003,1006.4,30.6,-9999,-9999,70,-9999,4.7,70,5.3,70,9,70,0,0,1,1.38,25,-9999,-9999,0.9,-9999,-9999,3,-9999,-9999,2,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082009,1003.1,1006.5,32,-9999,-9999,65,-9999,4,100,4.6,70,8.6,80,0,0,0.7,1.7,25,-9999,-9999,0.9,-9999,-9999,1,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082010,1002.4,1005.8,32.4,-9999,-9999,64,-9999,3.9,90,5.5,90,10.9,130,0,0,0.9,2.64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082011,1001.9,1005.3,34.2,-9999,-9999,57,-9999,5,130,5.9,120,11.5,120,0,0,1,3.34,30,-9999,-9999,0.9,-9999,-9999,1,-9999,-9999,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082012,1001.6,1005,35.4,-9999,-9999,53,-9999,2.4,120,5.1,100,9.9,90,0,0,1,3.58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082013,1001.3,1004.7,34.5,-9999,-9999,51,-9999,4.6,120,5.2,110,11.5,120,0,0,1,3.59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082014,1001,1004.4,34.7,-9999,-9999,50,-9999,4.6,120,5.6,120,10.1,140,0,0,0.7,3.42,25,-9999,-9999,0.9,-9999,-9999,1,-9999,-9999,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082015,1000.5,1003.9,34.4,-9999,-9999,53,-9999,4.5,110,5.4,130,10.9,130,0,0,0.8,2.83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082016,1000.2,1003.6,33.5,-9999,-9999,57,-9999,4.9,90,5.6,90,10.5,90,0,0,0.9,1.89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082017,1000.3,1003.7,32.2,-9999,-9999,59,-9999,4.1,80,5.4,80,10.1,60,0,0,0.8,1.05,25,6,-9999,0.9,1,-9999,2,5,-9999,2,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082018,1000.7,1004.1,31.2,-9999,-9999,64,-9999,4.6,90,5.6,90,11,70,0,0,0.4,0.28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082019,1001,1004.4,30.4,-9999,-9999,67,-9999,5.8,80,5.8,80,11.5,100,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082020,1001.5,1004.9,30.1,-9999,-9999,68,-9999,2.8,90,5.7,80,9.7,100,0,0,-9999,0,15,-9999,-9999,1.2,-9999,-9999,2,-9999,-9999,1,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082021,1001.5,1004.9,30,-9999,-9999,70,-9999,4.7,80,5.3,80,9.7,80,0,0,-9999,0,15,-9999,-9999,1.2,-9999,-9999,2,-9999,-9999,4,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082022,1001.2,1004.6,29.7,-9999,-9999,72,-9999,3.2,80,4.8,80,8.6,70,0,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082023,1001,1004.4,29.6,-9999,-9999,72,-9999,3.5,80,4.6,70,8.5,70,0,0,-9999,0,15,-9999,-9999,1.2,-9999,-9999,1,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015082024,1000.4,1003.8,29.2,-9999,-9999,73,-9999,2.9,80,4.5,80,8.9,90,0,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
